,age,ast_per_g,award_share,blk_per_g,fg3_pct,fg_pct,ft_pct,g,link,mp_per_g,player,points_max,points_won,pts_per_g,stl_per_g,team_id,trb_per_g,votes_first,ws,ws_per_48
133,20,6.3,0.957,0.2,.222,.475,.788,81,/players/r/rosede01.html,37.0,Derrick Rose,600,574.0,16.8,0.8,CHI,3.9,111.0,4.9,.078
134,21,3.2,0.410,0.2,.384,.438,.879,82,/players/m/mayooj01.html,38.0,O.J. Mayo,600,246.0,18.5,1.1,MEM,3.8,5.0,3.4,.052
135,20,1.0,0.212,1.8,.000,.531,.793,82,/players/l/lopezbr01.html,30.5,Brook Lopez,600,127.0,13.0,0.5,NJN,8.1,2.0,5.8,.112
136,20,5.3,0.122,0.2,.271,.398,.815,82,/players/w/westbru01.html,32.5,Russell Westbrook,600,73.0,15.3,1.3,OKC,4.9,2.0,1.9,.035
137,20,2.8,0.037,0.4,.389,.456,.854,78,/players/g/gordoer01.html,34.3,Eric Gordon,600,22.0,16.1,1.0,LAC,2.6,0.0,4.6,.082
138,20,1.0,0.027,0.6,.105,.459,.789,81,/players/l/loveke01.html,25.3,Kevin Love,600,16.0,11.1,0.4,MIN,9.1,0.0,5.3,.124
139,20,1.0,0.012,0.5,.407,.472,.772,81,/players/b/beaslmi01.html,24.8,Michael Beasley,600,7.0,13.9,0.5,MIA,5.4,0.0,3.4,.081
140,24,1.7,0.007,1.1,.000,.530,.733,82,/players/g/gasolma01.html,30.7,Marc Gasol,600,4.0,11.9,0.8,MEM,7.4,0.0,6.4,.121
141,23,2.0,0.005,0.2,.399,.425,.839,78,/players/f/fernaru01.html,25.6,Rudy Fernández,600,3.0,10.4,0.9,POR,2.7,0.0,6.1,.147
142,20,0.1,0.005,0.7,.000,.518,.691,60,/players/l/lopezro01.html,10.2,Robin Lopez,600,3.0,3.2,0.2,PHO,2.0,0.0,1.1,.083
143,22,4.9,0.003,0.1,.367,.420,.767,82,/players/c/chalmma01.html,32.0,Mario Chalmers,600,2.0,10.0,2.0,MIA,2.8,0.0,5.2,.095
144,23,1.2,0.003,0.2,.404,.450,.830,77,/players/l/leeco01.html,25.2,Courtney Lee,600,2.0,8.4,1.0,ORL,2.3,0.0,4.4,.108
145,20,0.9,0.002,0.5,.369,.446,.808,79,/players/b/batumni01.html,18.4,Nicolas Batum,600,1.0,5.4,0.6,POR,2.8,0.0,3.7,.123
146,20,5.8,0.798,0.4,.255,.458,.748,72,/players/e/evansty01.html,37.2,Tyreke Evans,615,491.0,20.1,1.5,SAC,5.3,67.0,5.4,.097
147,21,5.9,0.636,0.2,.437,.462,.885,80,/players/c/curryst01.html,36.2,Stephen Curry,615,391.0,17.5,1.9,GSW,4.5,43.0,4.7,.077
148,20,5.7,0.332,0.2,.374,.371,.817,82,/players/j/jennibr01.html,32.6,Brandon Jennings,615,204.0,15.5,1.3,MIL,3.4,12.0,4.2,.075
149,22,5.7,0.028,0.1,.400,.477,.851,76,/players/c/collida01.html,27.8,Darren Collison,615,17.0,12.4,1.0,NOH,2.5,1.0,2.9,.067
150,20,4.4,0.003,0.0,.358,.417,.826,81,/players/f/flynnjo01.html,28.9,Jonny Flynn,615,2.0,13.5,1.0,MIN,2.4,0.0,0.1,.002
151,24,0.9,0.003,1.3,,.494,.646,82,/players/g/gibsota01.html,26.9,Taj Gibson,615,2.0,9.0,0.6,CHI,7.5,0.0,4.7,.103
152,21,3.8,1.000,0.5,.292,.506,.642,82,/players/g/griffbl01.html,38.0,Blake Griffin,590,590.0,22.5,0.8,LAC,12.1,118.0,9.8,.152
153,20,8.3,0.500,0.5,.296,.409,.766,69,/players/w/walljo01.html,37.8,John Wall,590,295.0,16.4,1.8,WAS,4.6,0.0,2.2,.041
154,20,2.5,0.137,0.8,.167,.430,.687,81,/players/c/couside01.html,28.5,DeMarcus Cousins,590,81.0,14.1,1.0,SAC,8.6,0.0,1.1,.022
155,22,1.9,0.105,0.2,.393,.497,.769,82,/players/f/fieldla01.html,31.0,Landry Fields,590,62.0,9.7,1.0,NYK,6.4,0.0,5.3,.100
156,26,1.2,0.032,0.1,.419,.451,.808,80,/players/n/nealga01.html,21.1,Gary Neal,590,19.0,9.8,0.3,SAS,2.5,0.0,3.5,.099
157,20,1.3,0.025,0.6,.000,.551,.622,80,/players/m/monrogr01.html,27.8,Greg Monroe,590,15.0,9.4,1.2,DET,7.5,0.0,6.6,.143
